	asker	answer
1	10981932	12332712
2	10981932	6243352
3	9879394	6553328
4	9879394	12345745
5	9879394	7713184
6	9879394	332059
7	9879394	5909839
8	9879394	8973620
9	9879394	489590
10	12337744	8719334
11	12337744	10189214
12	12337744	1838257
13	2291710	8430733
14	3080600	11891566
15	11891566	8430733
16	11891566	858675
17	11891566	4602882
18	12098223	674039
19	12098223	2190251
20	12098223	908269
21	12098223	1707152
22	12098223	187377
23	10376393	355230
24	12001686	11891566
25	12345773	12345014
26	8200892	130288
27	8719334	11938023
28	8416019	12345745
29	8416019	10439676
30	176841	6243352
31	674039	858675
32	674039	7688996
33	10798906	5771269
34	10798906	116
35	12345014	4238408
36	130288	7348030
37	5408702	6552776
38	5408702	901925
39	5408702	10104112
40	12345752	3566606
41	12345752	11938023
42	4133301	5771269
43	4133301	3019689
44	3734568	10987432
45	3734568	11752904
46	3566606	8300135
47	5222	3106565
48	5222	1491895
49	10963057	901925
50	5721803	674039
51	5721803	3809375
52	5721803	4042267
53	12332712	355230
54	12332712	12285344
55	12332712	948122
56	12332712	10470287
57	12032370	1427416
58	12032370	4279
59	12032370	240443
60	2675061	6451573
61	12345348	4238408
62	12345348	3293881
63	12345348	8973620
64	12167715	1491895
65	12308322	11884237
66	3943868	6451573
67	3943868	885028
68	3943868	10534041
69	3943868	2373278
70	3943868	1234000
71	3943868	10233157
72	3943868	8142636
73	3943868	7677359
74	3943868	9449389
75	3943868	8012789
76	3943868	2106009
77	3943868	856804
78	3943868	3990239
79	3943868	1903116
80	1913233	4238408
81	1913233	2336654
82	1913233	11070463
83	9960511	6451573
84	1849805	1838257
85	1849805	11752904
86	1849805	11897007
87	11846432	1838257
88	11846432	11752904
89	11846432	11897007
90	7366596	2212230
91	7010243	95810
92	7010243	4558344
93	7010243	23072
94	7010243	1714997
95	7010243	2361465
96	12341610	11752904
97	3130926	12339901
98	3130926	10161323
99	3130926	2204926
100	3130926	4501263
101	9243846	6451573
102	10295265	674039
103	12345205	7348030
104	5881652	858675
105	3133995	7348030
106	12334091	1491895
107	12334091	5393381
108	12334091	2460780
109	263284	10189214
110	263284	7348030
111	10650203	901925
112	10650203	3293881
113	10650203	2867928
114	12344972	5771269
115	12344972	1110833
116	12171602	4238408
117	12171602	11897007
118	12118163	7348030
119	12118163	5237560
120	12118163	4056181
121	12118163	1126841
122	12263051	12339901
123	12263051	6798791
124	12263051	1839849
125	12263051	523612
126	12263051	20862
127	11898797	1491895
128	11898797	12326233
129	8706200	11884237
130	6741482	3019689
131	12270530	592851
132	12270530	2482744
133	12067191	674039
134	12067191	5393381
135	12067191	6660373
136	12067191	3041840
137	12067191	2153910
138	12067191	8993294
139	12067191	2211268
140	12067191	35070
141	12067191	464744
142	12067191	455276
143	4443411	8245469
144	5615327	2482744
145	548894	2336654
146	10909217	9183344
147	10909217	8493792
148	10909217	9698684
149	7396098	7348030
150	10551559	2482744
151	7163179	12339901
152	7163179	364696
153	7163179	9209546
154	11373841	2482744
155	8245469	2482744
156	11519044	2212230
157	11519044	2482744
158	12251537	4279
159	12251537	6660373
160	12251537	2387835
161	12251537	10937550
162	12251537	20840
163	12251537	605436
164	12251537	4220424
165	12251537	2029648
166	12251537	1242139
167	12251537	4130524
168	12251537	1961612
169	12251537	1000188
170	12251537	1941213
171	12251537	12320
172	12251537	893
173	12251537	8776
174	2554262	12121150
175	1610626	2146138
176	1610626	6501141
177	1610626	8185492
178	1610626	4081962
179	1610626	5054685
180	1610626	1267329
181	12252872	2482744
182	865004	4238408
183	865004	11884237
184	12121150	6451573
185	12121150	95810
186	12121150	20862
187	12121150	83406
188	12121150	174728
189	12121150	3620003
190	12121150	1049677
191	12121150	2979916
192	12121150	14028
193	2146138	3019689
194	2146138	9183344
195	197473	4238408
196	197473	9183344
197	2840134	10189214
198	2840134	11897007
199	11249434	355230
200	11249434	20862
201	11249434	1667163
202	11249434	208880
203	11249434	1761366
204	11249434	450517
205	11249434	376728
206	11249434	205270
207	12329216	2212230
208	12329216	12339901
209	12329216	2460780
210	12329216	1126841
211	4942661	4238408
212	4942661	2851685
